Epoch: [0][1160/2688], lr: 0.01000	Time 1.146 (1.157)	Data 0.000 (0.002)	Loss 5.0227 (5.0515)	Prec@1 3.125 (1.338)	Prec@5 6.250 (5.617)
Epoch: [0][1200/2688], lr: 0.01000	Time 1.114 (1.156)	Data 0.000 (0.002)	Loss 5.0921 (5.0483)	Prec@1 0.000 (1.343)	Prec@5 3.125 (5.688)
Epoch: [0][1240/2688], lr: 0.01000	Time 1.052 (1.155)	Data 0.000 (0.001)	Loss 4.8847 (5.0449)	Prec@1 3.125 (1.352)	Prec@5 9.375 (5.774)
Epoch: [0][1280/2688], lr: 0.01000	Time 1.111 (1.153)	Data 0.000 (0.001)	Loss 4.8523 (5.0423)	Prec@1 3.125 (1.373)	Prec@5 9.375 (5.845)
Epoch: [0][1320/2688], lr: 0.01000	Time 1.110 (1.152)	Data 0.000 (0.001)	Loss 4.8764 (5.0388)	Prec@1 3.125 (1.377)	Prec@5 12.500 (5.964)
Epoch: [0][1360/2688], lr: 0.01000	Time 1.108 (1.151)	Data 0.000 (0.001)	Loss 4.8849 (5.0365)	Prec@1 0.000 (1.391)	Prec@5 3.125 (6.075)
Epoch: [0][1400/2688], lr: 0.01000	Time 1.134 (1.150)	Data 0.000 (0.001)	Loss 4.9215 (5.0339)	Prec@1 0.000 (1.394)	Prec@5 6.250 (6.152)
Epoch: [0][1440/2688], lr: 0.01000	Time 1.134 (1.149)	Data 0.000 (0.001)	Loss 4.9832 (5.0315)	Prec@1 3.125 (1.412)	Prec@5 6.250 (6.220)
Epoch: [0][1480/2688], lr: 0.01000	Time 1.122 (1.148)	Data 0.000 (0.001)	Loss 5.0686 (5.0300)	Prec@1 3.125 (1.422)	Prec@5 6.250 (6.265)
Epoch: [0][1520/2688], lr: 0.01000	Time 1.159 (1.147)	Data 0.000 (0.001)	Loss 4.7773 (5.0271)	Prec@1 0.000 (1.434)	Prec@5 9.375 (6.361)
Epoch: [0][1560/2688], lr: 0.01000	Time 1.088 (1.146)	Data 0.000 (0.001)	Loss 4.8064 (5.0255)	Prec@1 3.125 (1.443)	Prec@5 9.375 (6.404)
Epoch: [0][1600/2688], lr: 0.01000	Time 1.115 (1.145)	Data 0.000 (0.001)	Loss 4.8648 (5.0231)	Prec@1 0.000 (1.468)	Prec@5 9.375 (6.443)
Epoch: [0][1640/2688], lr: 0.01000	Time 1.154 (1.145)	Data 0.000 (0.001)	Loss 4.9774 (5.0194)	Prec@1 3.125 (1.503)	Prec@5 12.500 (6.545)
Epoch: [0][1680/2688], lr: 0.01000	Time 1.102 (1.144)	Data 0.000 (0.001)	Loss 4.7886 (5.0171)	Prec@1 3.125 (1.515)	Prec@5 9.375 (6.622)
Epoch: [0][1720/2688], lr: 0.01000	Time 1.119 (1.144)	Data 0.000 (0.001)	Loss 4.6408 (5.0141)	Prec@1 3.125 (1.529)	Prec@5 9.375 (6.689)
Epoch: [0][1760/2688], lr: 0.01000	Time 1.084 (1.143)	Data 0.000 (0.001)	Loss 4.8599 (5.0119)	Prec@1 0.000 (1.547)	Prec@5 3.125 (6.759)
Epoch: [0][1800/2688], lr: 0.01000	Time 1.114 (1.143)	Data 0.000 (0.001)	Loss 4.6445 (5.0105)	Prec@1 3.125 (1.560)	Prec@5 21.875 (6.826)
Epoch: [0][1840/2688], lr: 0.01000	Time 1.135 (1.142)	Data 0.000 (0.001)	Loss 4.9814 (5.0088)	Prec@1 0.000 (1.567)	Prec@5 3.125 (6.870)
Epoch: [0][1880/2688], lr: 0.01000	Time 1.154 (1.142)	Data 0.000 (0.001)	Loss 4.8444 (5.0075)	Prec@1 0.000 (1.573)	Prec@5 9.375 (6.891)
Epoch: [0][1920/2688], lr: 0.01000	Time 1.080 (1.142)	Data 0.000 (0.001)	Loss 4.8201 (5.0050)	Prec@1 0.000 (1.588)	Prec@5 12.500 (6.966)
Epoch: [0][1960/2688], lr: 0.01000	Time 1.046 (1.141)	Data 0.000 (0.001)	Loss 4.8781 (5.0028)	Prec@1 3.125 (1.606)	Prec@5 12.500 (7.024)
Epoch: [0][2000/2688], lr: 0.01000	Time 1.077 (1.141)	Data 0.000 (0.001)	Loss 5.0703 (5.0005)	Prec@1 3.125 (1.605)	Prec@5 12.500 (7.059)
Epoch: [0][2040/2688], lr: 0.01000	Time 1.121 (1.140)	Data 0.000 (0.001)	Loss 5.0797 (4.9982)	Prec@1 3.125 (1.634)	Prec@5 9.375 (7.140)
Epoch: [0][2080/2688], lr: 0.01000	Time 1.088 (1.140)	Data 0.000 (0.001)	Loss 4.8708 (4.9961)	Prec@1 0.000 (1.638)	Prec@5 9.375 (7.189)
Epoch: [0][2120/2688], lr: 0.01000	Time 1.114 (1.139)	Data 0.000 (0.001)	Loss 4.9456 (4.9935)	Prec@1 6.250 (1.668)	Prec@5 15.625 (7.261)
Epoch: [0][2160/2688], lr: 0.01000	Time 1.103 (1.138)	Data 0.000 (0.001)	Loss 4.8798 (4.9909)	Prec@1 3.125 (1.690)	Prec@5 15.625 (7.340)
Epoch: [0][2200/2688], lr: 0.01000	Time 1.046 (1.138)	Data 0.000 (0.001)	Loss 4.8493 (4.9888)	Prec@1 3.125 (1.711)	Prec@5 15.625 (7.416)
Epoch: [0][2240/2688], lr: 0.01000	Time 1.030 (1.137)	Data 0.000 (0.001)	Loss 4.7561 (4.9865)	Prec@1 3.125 (1.725)	Prec@5 18.750 (7.458)
Epoch: [0][2280/2688], lr: 0.01000	Time 1.044 (1.136)	Data 0.000 (0.001)	Loss 5.0139 (4.9845)	Prec@1 0.000 (1.741)	Prec@5 6.250 (7.523)
Epoch: [0][2320/2688], lr: 0.01000	Time 1.139 (1.136)	Data 0.000 (0.001)	Loss 4.7427 (4.9824)	Prec@1 3.125 (1.752)	Prec@5 12.500 (7.575)
Epoch: [0][2360/2688], lr: 0.01000	Time 1.098 (1.135)	Data 0.000 (0.001)	Loss 5.0065 (4.9800)	Prec@1 3.125 (1.779)	Prec@5 9.375 (7.661)
